page,title,author,length,ratings
14,There Once was a Dancer,Patricia Logan,10 hrs and 23 mins,Not rated yet
14,La deliciosa tortura de amar a tu peor enemigo,"Brigitte Knightley, Eva Carballeira Díaz - translator",13 hrs and 49 mins,5.0
15,Wrapped in Their Arms,Evangeline Anderson,11 hrs and 54 mins,Not rated yet
15,Iron Gold,Pierce Brown,23 hrs and 23 mins,4.6
15,Remarkably Bright Creatures,Shelby Van Pelt,11 hrs and 16 mins,4.8
15,The Stone Saga,Dakota Willink,46 hrs and 45 mins,Not rated yet
15,Stellar Showdown,Mixon Trammell,9 hrs and 31 mins,Not rated yet
15,Our Dream Home,Jessica Huntley,7 hrs and 39 mins,4.5
15,The Odyssey,"Homer, Emily Wilson - translator",13 hrs and 32 mins,4.6
15,The Word of Promise Audio Bible: Complete Bible---Hear the Bible Come Alive (NKJV),Thomas Nelson,98 hrs and 1 min,4.7
15,Maple & Moonlight,Daphne Elliot,11 hrs and 23 mins,4.5
15,The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins,4.5
15,The Celluloid Sentry,"Anna Elliott, Charles Veley",9 hrs and 14 mins,4.9
15,Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,7 hrs and 52 mins,4.8
15,The Odyssey,"Homer, Robert Fagles - translator",13 hrs and 3 mins,4.5
15,The Goal,Elle Kennedy,10 hrs and 39 mins,4.5
15,Room 21,Jessica Huntley,8 hrs and 56 mins,4.3
15,Dust to Dust,Jen Wilkin,3 hrs and 46 mins,5.0
15,He Who Fights with Monsters 7,"Shirtaloon, Travis Deverell",18 hrs and 39 mins,4.9
15,The Let Them Theory,Mel Robbins,10 hrs and 38 mins,4.6
15,The Iliad,"Homer, Emily Wilson - translator",20 hrs and 23 mins,4.6
15,Broken Fae,"Caroline Peckham, Susanne Valenti",20 hrs and 58 mins,4.8
16,Mage Tank 4,Cornman,20 hrs and 45 mins,4.8
16,Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins,4.8
16,The Holy Bible: King James Version,King James Bible,82 hrs and 53 mins,4.7
16,Ground State,Craig Alanson,19 hrs and 20 mins,4.8
16,It's Not Her,Mary Kubica,11 hrs and 2 mins,4.3
16,The Coffee Shop Detectives,Louise Mumford,10 hrs and 56 mins,4.5
16,Ransom,Daniel Silva,9 hrs and 48 mins,4.6
16,Light Bringer,Pierce Brown,30 hrs and 8 mins,4.9
16,The Admiral & the Assistant,Roger Black,36 hrs and 54 mins,5.0
16,Can't Hurt Me,David Goggins,13 hrs and 37 mins,4.9
16,Venom & Vengeance,Emma Slate,11 hrs and 13 mins,4.8
16,Gateway,Craig Alanson,19 hrs and 26 mins,4.8
16,The Words Between the Lines,Astrid Veld,5 hrs and 9 mins,Not rated yet
16,The Very Irresistible Bachelors Complete Collection (1-8),Layla Hagen,61 hrs and 6 mins,4.8
16,The Primal Hunter 3,Zogarth,18 hrs and 23 mins,4.9
16,The Lighthouse Keeper's Retreat,"Josie Adams, Audible Sleep",1 hr and 11 mins,4.0
16,Not a Gentleman,Lani Lynn Vale,6 hrs and 19 mins,4.9
16,Theurge,Terry Mancour,19 hrs and 52 mins,4.6
16,The Divorce,Freida McFadden,8 hrs and 1 min,4.5
16,Artificial Intelligence in Plain Language,Jillian Hodges,7 mins,Not rated yet
17,Thrust & Throttle,Emma Slate,11 hrs and 23 mins,4.7
17,Splinter Angel: Book 3,Avaritiabona,16 hrs and 57 mins,4.7
17,Miss Gentle and the Case of the Very Flat Monk,Travis Baldree,43 mins,4.5
17,Defiance of the Fall 6,"TheFirstDefier, JF Brink",23 hrs and 1 min,4.8
17,Dear Debbie,Freida McFadden,7 hrs and 40 mins,4.6
17,The Peculiar Talent of Miss Elizabeth Bennet,Elizabeth Adams,3 hrs and 19 mins,5.0
17,Death Has Joined the Party,"Rachel Aaron, Travis Bach",23 hrs and 58 mins,4.6
17,Forgiving What You Can't Forget,Lysa TerKeurst,8 hrs and 20 mins,4.4
17,Hyperpolitics,Anton Jäger,3 hrs and 55 mins,4.6
17,Pyros,Sean Liscom,12 hrs and 19 mins,5.0
17,The Day After,Brian Tyler Cohen,6 hrs and 22 mins,4.9
17,Star Wars: Darth Plagueis,James Luceno,14 hrs and 45 mins,4.8
17,Rites of the Starling,Devney Perry,17 hrs and 22 mins,4.8
17,The Will of the Many,James Islington,28 hrs and 14 mins,4.8
17,The Complete Sunset on America Series,Ryan Schow,58 hrs and 45 mins,4.5
17,He Who Fights with Monsters 8,"Shirtaloon, Travis Deverell",18 hrs and 12 mins,4.8
17,The History of Grocery Stores and Food Access in America,"Hanna Garth, The Great Courses",2 hrs and 37 mins,4.4
17,Mage Tank 3,Cornman,23 hrs and 5 mins,4.8
17,Catching Fire,Suzanne Collins,11 hrs and 3 mins,4.9
17,Dungeon Crawler Carl,Matt Dinniman,13 hrs and 31 mins,4.8
18,The Widow on Dwyer Court,Lisa Kusel,8 hrs and 8 mins,4.4
18,Malevolent King,Mila Kane,10 hrs and 9 mins,4.9
18,Nightmare Realm Summoner 3,Actus,22 hrs and 18 mins,4.8
18,My Husband Next Door,K. L. Slater,9 hrs and 39 mins,4.4
18,Chasing Embers,Glenn Beck,8 hrs and 10 mins,4.9
18,The Rector's Daughter,Jean Grainger,13 hrs and 1 min,Not rated yet
18,Agent Zero Spy Thriller Bundle,Jack Mars,20 hrs and 8 mins,Not rated yet
18,Locked in with the Plug 2,Nek Mills,5 hrs and 56 mins,Not rated yet
18,This Will Make You Smarter,John Brockman,12 hrs and 7 mins,3.7
18,The Ghosts of Greenville,Gerri Hill,7 hrs and 17 mins,4.7
18,Spinoza,"Gilles Deleuze, Robert Hurley - Translator - translator",5 hrs and 16 mins,Not rated yet
18,Herald of Justice,"J.N. Chaney, Aaron Bunce, Terry Maggert",12 hrs and 16 mins,Not rated yet
18,Beastforged Bond,HideousGrain,13 hrs and 13 mins,4.6
18,Growth Without Burnout,Lois Castro,5 mins,Not rated yet
18,The Consistent You,Will Harding,6 mins,Not rated yet
18,Personal Growth in Real Life,Adele Schmidt,5 mins,Not rated yet
18,Half Double Murder,Marshall Thornton,7 hrs and 22 mins,5.0
18,Illicit Vows,Piper Stone,9 hrs and 10 mins,5.0
18,Dragon's Reveal,Nora Phoenix,11 hrs and 44 mins,5.0
18,Defiance of the Fall 2,"TheFirstDefier, JF Brink",24 hrs and 30 mins,4.8
19,Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,65 hrs and 31 mins,4.8
